LAMMPS mixture_MACE_XXX.data

7500 atoms
3 atom types
0.0 44.0 xlo xhi
0.0 44.0 ylo yhi
0.0 44.0 zlo zhi

Atoms # atomic

66 1 1.91903000 13.70250000 9.78133000
67 3 3.81186000 12.75900000 9.00106000
68 3 3.85357000 14.48800000 9.20905000
69 3 1.32853000 13.10140000 9.13934000
70 3 1.66030000 14.70290000 9.59845000
71 1 7.77382000 1.99639000 41.33810000
72 2 7.67575000 3.21512000 41.00180000
73 2 8.15781000 1.06693000 40.57560000
74 2 7.56662000 1.45377000 42.56000000
75 1 8.58232000 43.68820000 41.28700000
76 1 7.75747000 43.74370000 42.53230000
77 3 9.60561000 43.80420000 41.52580000
78 3 8.48347000 42.74950000 40.70720000
79 3 8.08932000 43.39680000 43.54590000
80 3 6.75705000 43.23770000 42.42210000
81 1 13.44520000 11.84640000 23.36000000
82 2 14.21460000 12.79140000 23.21570000
83 2 12.72380000 11.47650000 22.33350000
84 2 13.25740000 11.00180000 24.33610000
85 1 11.92880000 10.35330000 22.66070000
86 1 12.48770000 9.91439000 23.98660000
87 3 11.91430000 9.51723000 21.93090000
88 3 10.90660000 10.67010000 22.76040000
89 3 13.06070000 8.93105000 23.89050000
90 3 11.77410000 9.60493000 24.70630000
91 1 7.79898000 16.86920000 20.14770000
92 2 7.05623000 16.47940000 21.03290000
93 2 8.61020000 17.86740000 20.23700000
94 2 7.89810000 16.34370000 18.95880000
95 1 9.37388000 18.05860000 19.08330000
96 1 8.69654000 17.08440000 18.13500000
97 3 10.36800000 17.75250000 19.25650000
98 3 9.20466000 19.04980000 18.76340000
99 3 9.43327000 16.36740000 17.62660000
100 3 8.20148000 17.56820000 17.40200000
101 1 9.02212000 0.85302900 15.25980000
102 2 7.80260000 0.86149500 15.14200000
103 2 9.81437000 1.61034000 16.01080000
104 2 9.86379000 43.82600000 14.39840000
105 1 11.13360000 1.59265000 15.43490000
106 1 11.27870000 0.32259800 14.65940000
107 3 11.97350000 1.77805000 16.12750000
108 3 11.13460000 2.43062000 14.79640000
109 3 11.60930000 43.32760000 15.45930000
110 3 12.03840000 0.36470200 13.87050000
111 1 11.50540000 18.14800000 15.13830000
112 2 10.74730000 17.78030000 14.26240000
113 2 11.11830000 18.72900000 16.23170000
114 2 12.84100000 18.08760000 15.08360000
115 1 12.25330000 18.94650000 17.04870000
116 1 13.43310000 18.81450000 16.14100000
117 3 12.27550000 18.25120000 17.87410000
118 3 12.18510000 19.98030000 17.41500000
119 3 14.25160000 18.31100000 16.70410000
120 3 13.74550000 19.83110000 15.73200000
121 1 8.89244000 17.11720000 10.67220000
122 2 8.09672000 16.17430000 10.70190000
123 2 10.18970000 16.90090000 10.36410000
124 2 8.65095000 18.31150000 11.06640000
125 1 10.96010000 17.98710000 10.73660000
126 1 9.85304000 19.07580000 10.93940000
127 3 11.76120000 18.25100000 10.05770000
128 3 11.40050000 17.73520000 11.57310000
129 3 9.70092000 19.67470000 9.97505000
130 3 9.93204000 19.68890000 11.81650000
131 1 21.29380000 25.24450000 34.88660000
132 2 21.80300000 24.18860000 34.99270000
133 2 20.62230000 25.83660000 35.84860000
134 2 21.54870000 26.16710000 34.00460000
135 1 20.21560000 27.18270000 35.61450000
136 1 21.06990000 27.38530000 34.40050000
137 3 20.59090000 27.92930000 36.25880000
138 3 19.21980000 27.36110000 35.53170000
139 3 21.91460000 28.02020000 34.64400000
140 3 20.55240000 28.00580000 33.62780000
141 1 40.86680000 1.53624000 12.66540000
142 2 40.65000000 1.39428000 13.87670000
143 2 40.41290000 2.58598000 11.91670000
144 2 41.47580000 0.60168000 11.83420000
145 1 40.68980000 2.43247000 10.57940000
146 1 41.32390000 1.03938000 10.56250000
147 3 41.28600000 3.18043000 10.06620000
148 3 39.76470000 2.34015000 10.05360000
149 3 42.32490000 1.13624000 10.15020000
150 3 40.89120000 0.35349700 9.85732000
151 1 12.45340000 32.43460000 39.76990000
152 2 11.51490000 33.15730000 39.41260000
153 2 13.61430000 32.30600000 39.16530000
154 2 12.49750000 31.70050000 40.86750000
155 1 14.57070000 31.76290000 40.05230000
156 1 13.62220000 30.87640000 40.84980000
157 3 15.14580000 32.52890000 40.56200000
158 3 15.37420000 31.19580000 39.55840000
159 3 14.17750000 30.58590000 41.75500000
160 3 13.42910000 29.96070000 40.24290000
161 1 7.37361000 29.88450000 36.41160000
